"date","days_min0_degrees","days_min32_degrees","days_max32_degrees","days_max70_degrees","days_max90_degrees","numD_fog","numD_thunder","min_temp_ext","max_snow_depth","max_daily_snowfall","max_daily_rain","max_temp_ext","total_rain","total_snowfall","avrg_temp","avg_max_temp","avg_min_temp"
Jul 1945,0,0,0,31,3,11,14,13.9,0,0,52.1,37.2,280.9,0,24.7,29,20.41
Aug 1945,0,0,0,30,4,7,4,13.3,0,0,17.3,34.4,66.7,0,23.79,28.79,18.78
Sep 1945,0,0,0,28,2,10,4,12.2,0,0,34,32.8,99.8,0,22.67,27.02,18.31
Oct 1945,0,0,0,14,0,9,1,3.3,0,0,11.7,27.2,34,0,14.25,19.91,8.6
Nov 1945,0,6,0,6,0,9,1,-3.9,0,0,41.1,25.6,107.7,0,9.61,14.42,4.79
Dec 1945,0,23,8,0,0,9,0,-10,178,102,35.8,13.9,119.6,262,0.51,3.64,-2.62
Jan 1946,0,20,5,0,0,11,0,-11.7,152,122,16,18.3,47.7,172,2.66,6.7,-1.38
Feb 1946,0,17,1,2,0,7,0,-7.2,102,112,23.6,22.2,58.9,115,4,8.67,-0.67
Mar 1946,0,2,0,11,0,11,0,-1.1,0,0,10.7,26.7,42.6,0,11.71,17.3,6.13
Apr 1946,0,0,0,9,0,6,1,1.7,0,0,31.8,31.7,49.1,0,13.29,18.99,7.59
May 1946,0,0,0,24,0,17,7,6.7,0,0,35.3,30.6,177.8,0,18.49,23.81,13.18
Jun 1946,0,0,0,29,5,4,5,11.1,0,0,14,35,35.8,0,22.44,27.8,17.07
Jul 1946,0,0,0,31,9,11,7,13.9,0,0,27.9,35.6,79.7,0,24.58,29.98,19.17
Aug 1946,0,0,0,31,3,12,7,11.7,0,0,65.8,32.8,146.1,0,22.51,27.13,17.88
Sep 1946,0,0,0,29,1,12,1,9.4,0,0,25.4,33.9,69.1,0,21.31,26.45,16.17
Oct 1946,0,0,0,18,0,16,2,5.6,0,0,22.1,28.9,70.3,0,16.33,21.83,10.84
Nov 1946,0,3,0,4,0,11,0,-0.6,0,0,22.4,25,33.8,0,11.1,15.74,6.46
Dec 1946,0,16,1,1,0,8,0,-6.7,25,30,24.4,23.9,43.9,55,5.26,10.22,0.3
Jan 1947,0,12,1,2,0,13,1,-11.1,76,97,24.6,22.8,96.8,105,5.4,9.81,0.98
Feb 1947,0,25,5,0,0,1,0,-13.9,203,193,20.1,13.9,32.3,261,-0.29,4.62,-5.2
Mar 1947,0,22,0,1,0,4,0,-4.4,51,48,5.3,21.1,25.9,86,4.47,9.19,-0.25
Apr 1947,0,0,0,13,0,11,2,2.2,0,0,16.3,30,63.1,0,13.97,20.11,7.83
May 1947,0,0,0,20,1,8,7,1.1,0,0,31.5,32.2,112.7,0,18.11,23.69,12.53
Jun 1947,0,0,0,28,2,8,8,10,0,0,88.1,33.9,174.3,0,22.03,26.63,17.43
Jul 1947,0,0,0,31,2,2,9,13.9,0,0,19.8,33.9,88.2,0,24.17,28.83,19.52
Aug 1947,0,0,0,31,11,12,7,16.7,0,0,15.2,35.6,46,0,26.08,30.62,21.55
Sep 1947,0,0,0,23,2,10,4,5,0,0,41.1,34.4,119.2,0,20.98,25.41,16.54
Oct 1947,0,0,0,23,0,15,1,3.3,0,0,30.5,29.4,31.3,0,18.05,23.14,12.97
Nov 1947,0,6,0,0,0,9,1,-3.9,0,0,36.1,18.9,106.8,0,7.86,11.7,4.01
Dec 1947,0,25,0,0,0,5,0,-5.6,76,91,14,16.1,34.8,91,2.54,6.85,-1.78
Jan 1948,0,28,11,0,0,8,0,-15,127,137,35.6,16.7,116.2,310,-1.76,2.04,-5.57
Feb 1948,0,20,7,3,0,9,0,-11.1,102,107,18.3,27.8,42.7,196,2.65,7.64,-2.34
Mar 1948,0,11,0,7,0,12,1,-7.8,0,0,20.1,30,93,0,8.89,14.52,3.26
Apr 1948,0,0,0,9,0,6,3,1.7,0,0,42.4,28.9,77.6,0,13.29,18.73,7.85
May 1948,0,0,0,21,1,16,9,7.2,0,0,63.5,32.2,225.2,0,18.13,23.18,13.08
Jun 1948,0,0,0,30,6,5,7,11.1,0,0,41.4,35,138.2,0,23.3,28.59,18.02
Jul 1948,0,0,0,31,9,5,11,15.6,0,0,37.1,35,109.5,0,25.55,30.38,20.71
Aug 1948,0,0,0,31,6,12,9,13.9,0,0,72.1,37.2,228.5,0,24.33,29.33,19.33
Sep 1948,0,0,0,26,3,6,3,9.4,0,0,22.1,32.2,81.1,0,20.79,26.02,15.55
Oct 1948,0,0,0,7,0,11,0,1.1,0,0,46.7,26.1,78.7,0,13.4,18.1,8.71
Nov 1948,0,0,0,5,0,16,0,0.6,0,0,42.7,25.6,152.5,0,10.79,15.81,5.77
Dec 1948,0,12,1,0,0,10,0,-10,51,112,24.6,20,119.1,112,4.51,8.82,0.2
Jan 1949,0,9,1,1,0,14,0,-6.1,51,145,36.6,22.8,129.1,188,5.9,10.3,1.49
Feb 1949,0,12,0,1,0,7,1,-5,51,53,13,25,68.2,102,6.59,11.39,1.79
Mar 1949,0,12,0,5,0,7,2,-5,0,0,18.8,28.3,86.9,0,8.14,13.06,3.23
Apr 1949,0,0,0,8,0,7,2,1.7,0,0,13,30,49.2,0,12.81,18.08,7.55
May 1949,0,0,0,24,2,8,7,6.1,0,0,48.8,32.8,160.8,0,18.86,24.55,13.17
Jun 1949,0,0,0,30,4,5,2,11.7,0,0,15.2,35.6,61.4,0,23.97,28.58,19.35
Jul 1949,0,0,0,31,14,9,5,17.8,0,0,39.9,35.6,107.2,0,27.21,31.75,22.67
Aug 1949,0,0,0,31,6,4,1,14.4,0,0,29,36.1,104,0,25.33,29.74,20.93
Sep 1949,0,0,0,23,0,6,3,8.3,0,0,27.2,31.1,88.9,0,19.5,24.52,14.48
Oct 1949,0,0,0,18,0,12,0,4.4,0,0,37.3,30,83.1,0,17.41,22.05,12.78
Nov 1949,0,7,0,4,0,4,0,-2.2,0,0,8.1,25.6,23.9,0,8.95,13.91,3.98
Dec 1949,0,13,0,0,0,9,0,-6.1,0,0,12.7,18.9,50.5,0,5.5,9.77,1.24
Jan 1950,0,9,0,6,0,9,0,-5.6,0,8,14.5,26.1,48.8,8,8.85,13.87,3.83
Feb 1950,0,12,1,0,0,10,0,-7.2,0,0,14.5,12.8,69.1,0,3.69,7.65,-0.26
Mar 1950,0,18,1,2,0,9,0,-9.4,76,76,33.3,26.1,106,79,5.38,10.51,0.25
Apr 1950,0,5,0,9,0,7,3,-4.4,0,0,20.6,26.7,47.2,0,11.32,16.9,5.74
May 1950,0,0,0,21,1,16,8,6.7,0,0,32.3,33.9,146.5,0,18.07,22.85,13.29
Jun 1950,0,0,0,30,4,6,2,11.7,0,0,27.9,35.6,79.6,0,23.29,28.41,18.17
Jul 1950,0,0,0,31,5,2,8,16.7,0,0,34.5,33.3,129.6,0,24.53,29.07,19.99
Aug 1950,0,0,0,31,2,6,6,14.4,0,0,95,33.3,185.9,0,24.21,28.8,19.62
Sep 1950,0,0,0,22,1,15,3,6.7,0,0,70.9,32.2,171.2,0,19.37,23.37,15.37
Oct 1950,0,0,0,15,0,15,1,3.9,0,0,45.5,30.6,91.2,0,16.13,21.42,10.85
Nov 1950,0,9,1,7,0,2,2,-8.3,51,41,45.2,29.4,72.9,41,8.84,14.29,3.39
Dec 1950,0,23,4,1,0,7,0,-9.4,25,71,39.4,21.1,69.1,96,1.97,5.84,-1.9
Jan 1951,0,20,3,2,0,9,0,-7.8,25,13,11.9,21.7,55.4,21,4.05,8.9,-0.81
Feb 1951,0,16,4,2,0,8,0,-11.7,25,76,32.8,22.2,67.4,76,3.62,8.53,-1.29
Mar 1951,0,9,0,3,0,10,1,-2.8,0,25,26.4,21.7,74.1,25,7.52,12.43,2.6
Apr 1951,0,0,0,9,0,4,3,1.7,0,0,26.2,30,88.6,0,13.26,18.93,7.59
May 1951,0,0,0,23,0,6,3,8.3,0,0,31.2,31.7,69.5,0,18.29,24.01,12.57
Jun 1951,0,0,0,28,7,15,8,12.8,0,0,56.6,35.6,169.9,0,22.97,27.87,18.08
Jul 1951,0,0,0,31,11,10,8,16.1,0,0,73.7,35,133.5,0,25.92,31.07,20.77
Aug 1951,0,0,0,31,7,12,4,13.9,0,0,20.8,34.4,44.5,0,24.86,29.64,20.08
Sep 1951,0,0,0,28,2,8,2,6.7,0,0,30.7,32.2,67.9,0,21.29,26.4,16.18
Oct 1951,0,0,0,16,1,4,1,6.1,0,0,20.8,34.4,42.4,0,16.7,21.53,11.87
Nov 1951,0,14,0,3,0,11,0,-3.9,0,0,32.5,23.3,121.8,0,6.7,11.39,2
Dec 1951,0,17,3,2,0,17,0,-10.6,76,86,31.5,22.8,115.4,122,4.92,9.07,0.77
Jan 1952,0,14,2,1,0,12,0,-9.4,25,36,18.8,23.3,113.8,41,4.82,8.74,0.9
Feb 1952,0,14,0,0,0,4,0,-3.9,0,0,20.8,15.6,44.9,0,5.03,9.17,0.9
Mar 1952,0,10,0,3,0,14,2,-3.9,0,64,20.1,28.3,95.5,97,6.28,10.97,1.6
Apr 1952,0,0,0,11,0,10,2,2.2,0,0,35.6,31.1,151.7,0,13.87,19.15,8.6
May 1952,0,0,0,22,0,10,7,7.2,0,0,40.6,30,120.2,0,17.89,22.98,12.79
Jun 1952,0,0,0,29,13,9,8,12.2,0,0,27.9,38.3,77.7,0,24.92,30.39,19.45
Jul 1952,0,0,0,31,16,3,7,13.3,0,0,69.1,37.2,113.2,0,26.96,32.03,21.9
Aug 1952,0,0,0,31,2,15,11,12.2,0,0,28.7,32.2,132.2,0,24.53,29.23,19.83
Sep 1952,0,0,0,29,4,14,2,8.9,0,0,71.6,33.9,103.1,0,20.49,25.98,15
