"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013743","1941-07","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","","","207.9",",Z","16",",Z","11",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","30",",Z","6",",Z","","","","","19410705",",,Z","19410731","+,,Z","19410731","+,,Z","","","19410703",",,Z","19410728",",,Z","16.7",",Z,05,","0",",,Z,31,+","0",",,Z,31,+","20.3",",,Z,03,","37.8",",Z,28,","0.0","Z","0.0",",Z","93.4",",,,Z","","","","","","","","","0",",,,Z","25.04",",Z","29.50",",,,Z","20.58",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1941-08","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","","","180.3",",Z","10",",Z","5",",Z","1",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","31",",Z","6",",Z","","","","","19410814",",,Z","19410831","+,,Z","19410831","+,,Z","","","19410816",",,Z","19410809",",,Z","12.8",",Z,14,","0",",,Z,31,+","0",",,Z,31,+","27.4",",,Z,16,","36.1",",Z,09,","0.0","Z","0.0",",Z","58.4",",,,Z","","","","","","","","","0",",,,Z","24.15",",Z","29.45",",,,Z","18.85",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1941-09","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","","","129.4",",Z","4",",Z","4",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","30",",Z","5",",Z","","","","","19410913",",,Z","19410930","+,,Z","19410930","+,,Z","","","19410904",",,Z","19410910",",,Z","9.4",",Z,13,","0",",,Z,30,+","0",",,Z,30,+","8.1",",,Z,04,","35.0",",Z,10,","6.2","Z","6.2",",Z","23.5",",,,Z","","","","","","","","","0",",,,Z","22.44",",Z","28.03",",,,Z","16.85",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1941-10","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","","","69.4",",Z","8",",Z","3",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","19",",Z","5",",Z","","","","","19411029","+,,Z","19411031","+,,Z","19411031","+,,Z","","","19411010",",,Z","19411005",",,Z","2.8",",Z,29,+","0",",,Z,31,+","0",",,Z,31,+","9.9",",,Z,10,","35.6",",Z,05,","86.0","Z","79.8",",Z","25.3",",,,Z","","","","","","","","","0",",,,Z","18.00",",Z","23.56",",,,Z","12.43",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1941-11","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","","","0.0",",Z","4",",Z","1",",Z","0",",Z","0",",Z","0",",Z","0",",Z","7",",Z","0",",Z","8",",Z","0",",Z","","","","","19411125","+,,Z","19411130","+,,Z","19411130","+,,Z","","","19411123",",,Z","19411120",",,Z","-2.8",",Z,25,+","0",",,Z,30,+","0",",,Z,30,+","11.4",",,Z,23,","23.3",",Z,20,","334.7","Z","248.7",",Z","14.7",",,,Z","","","","","","","","","0",",,,Z","10.04",",Z","16.22",",,,Z","3.86",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1941-12","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","","","0.0",",Z","9",",Z","4",",Z","1",",Z","0",",Z","0",",Z","0",",Z","19",",Z","0",",Z","0",",Z","0",",Z","","","","","19411215",",,Z","19411231","+,,Z","19411212",",,Z","","","19411213",",,Z","19411203",",,Z","-3.9",",Z,15,","0",",,Z,31,+","0",",T,Z,12,","46.0",",,Z,13,","18.9",",Z,03,","741.6","Z","406.9",",Z","83.4",",,,Z","","","","","","","","","0",",T,,Z","5.21",",Z","9.73",",,,Z","0.68",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1942-01","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","0.0","Z","0.0",",Z","10",",Z","7",",Z","1",",Z","3",",Z","1",",Z","0",",Z","21",",Z","5",",Z","0",",Z","0",",Z","","","","","19420111","+,,Z","19420110",",,Z","19420110",",,Z","","","19420119",",,Z","19420118",",,Z","-14.4",",Z,11,+","51",",,Z,10,","33",",,Z,10,","26.2",",,Z,19,","18.3",",Z,18,","1268.7","Z","527.1",",Z","55.7",",,,Z","","","","","","","","","51",",,,Z","1.33",",Z","5.97",",,,Z","-3.31",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1942-02","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","0.0","Z","0.0",",Z","5",",Z","4",",Z","0",",Z","0",",Z","0",",Z","0",",Z","24",",Z","3",",Z","0",",Z","0",",Z","","","","","19420203",",,Z","19420228","+,,Z","19420227","+,,Z","","","19420206",",,Z","19420215",",,Z","-11.1",",Z,03,","0",",,Z,28,+","0",",T,Z,27,+","18.5",",,Z,06,","15.0",",Z,15,","1749.4","Z","480.7",",Z","39.3",",,,Z","","","","","","","","","0",",T,,Z","1.17",",Z","5.74",",,,Z","-3.41",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1942-03","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","0.0","Z","0.0",",Z","14",",Z","9",",Z","1",",Z","1",",Z","2",",Z","0",",Z","2",",Z","0",",Z","2",",Z","0",",Z","","","","","19420302",",,Z","19420321",",,Z","19420321",",,Z","","","19420302",",,Z","19420317",",,Z","-1.1",",Z,02,","76",",,Z,21,","152",",,Z,21,","25.4",",,Z,02,","24.4",",Z,17,","2062.6","Z","313.2",",Z","98.4",",,,Z","","","","","","","","","198",",,,Z","8.23",",Z","13.25",",,,Z","3.21",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00013743","1942-04","38.84721","-77.03454","4.1","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","","","","","","","","","","","21.2","Z","21.2",",Z","2",",Z","1",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","17",",Z","2",",Z","","","","","19420414","+,,Z","19420430","+,,Z","19420430","+,,Z","","","19420409",",,Z","19420406",",,Z","1.1",",Z,14,+","0",",,Z,30,+","0",",,Z,30,+","6.4",",,Z,09,","32.8",",Z,06,","2195.5","Z","132.9",",Z","6.7",",,,Z","","","","","","","","","0",",,,Z","14.61",",Z","21.25",",,,Z","7.96",",,,Z","","","","","","","","","","","","","","","","","","","","","",""
